INFO 2024-06-29 09:02:02,104 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-29 09:02:02,104 autoreload Waiting for apps ready_event.
DEBUG 2024-06-29 09:02:02,142 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-29 09:02:02,186 autoreload Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\phone_field\templates with glob **/*.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\djangoproject\templates with glob **/*.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\djangoproject\locale with glob **/*.mo.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\djangoproject\todolist\locale with glob **/*.mo.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\phone_field\locale with glob **/*.mo.
DEBUG 2024-06-29 09:02:02,187 autoreload Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2024-06-29 09:02:02,272 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-29 09:02:02,272 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1718471976.3068702
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1718524814.486406
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\PIL\_binary.py first seen with mtime 1718764250.684965
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1718471976.3068702
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1718764250.684965
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1712654418.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1718524816.3097456
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1712654462.0
DEBUG 2024-06-29 09:02:02,400 autoreload File C:\Users\dell\AppData\Local\Programs\Python\Python312\Lib\site-packages\debug_toolbar\panels\sql\forms.py first seen with mtime 1718764091.7936172
